"supplier_name","account_name","service","total_value","privilege","trade_cat","service_category"
"BROXAP LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","6300","Transport","34928480","environment"
"BROXAP LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","6750","Transport","34928480","environment"
"BROXAP LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","6750","Transport","34928480","environment"
"BROXAP LIMITED","EQUIPMENT - GENERAL","NEIGHBOURHOODS AND ENVIRONMENT","6750","Transport","34928480","environment"
"BROXAP LIMITED","PURCHASE OF FURNITURE AND EQUIPMENT","NEIGHBOURHOODS AND ENVIRONMENT","6750","Transport","34928480","environment"
"CAPITA BUSINESS SERVICES LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","114640","Data","48000000","environment"
"CAPITA BUSINESS SERVICES LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","110569","Data","48610000","environment"
"CAPITA BUSINESS SERVICES LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","36486.6","Data","48000000","environment"
"CAPITA BUSINESS SERVICES LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","154539","Data","48000000","environment"
"CAPITA BUSINESS SERVICES LIMITED","SOFTWARE","NEIGHBOURHOODS AND ENVIRONMENT","166266","Legal","79620000","environment"
