"organisation_name","purchase_order_number","order_date","total_value","supplier_name","account_name","service"
"Rochdale Borough Council","d1045898","2014-10-31","6880","MACE LIMITED","CONSULTANT FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","x1009893","2014-10-31","9900","CORAM","ADOPTION PAYMENTS","CHILDREN’S SOCIAL CARE"
"Rochdale Borough Council","d1045907","2014-11-03","20314.5","PER FIT WINDOWS LTD","TRANSACTIONS-EXPENDITURE","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045917","2014-11-03","7000","LAND USE CONSULTANTS LTD","CONSULTANT FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","d1045918","2014-11-03","5000","HEPWORTH ACOUSTICS LTD","CONSULTANT FEES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1015011","2014-11-03","10658","BELMONT SCHOOL LIMITED","OTHER LA`S - SEN PROVISION","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","f1003783","2014-11-03","9750","OVERDRIVE  INC","PURCHASE OF ICT SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","f1003784","2014-11-03","9750","OVERDRIVE  INC","PURCHASE OF ICT SOFTWARE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","q1002913","2014-11-03","15390","ROCHDALE TOWN CENTRE MANAGEMENT CO","EVENTS","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045942","2014-11-04","10000","ENVIRONMENTAL EVALUATION","HEALTH AUTHORITIES","ECONOMY AND ENVIRONMENT"
"Rochdale Borough Council","e1015017","2014-11-04","10686.3","PENNINE CARE NHS","CONSULTANT FEES","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","e1015029","2014-11-04","145666","INSPIREDSPACES ROCHDALE LTD","PURCHASE OF ICT HARDWARE","EARLY HELP AND SCHOOLS"
"Rochdale Borough Council","ph100594","2014-11-04","147000","LINK4LIFE (CHARITY)","LINK 4 LIFE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","ph100598","2014-11-04","227150","PENNINE CARE NHS","PH PENNINE CARE CONTRACT","PUBLIC HEALTH"
"Rochdale Borough Council","q1002923","2014-11-04","70000","EVERYTHING EVERYWHERE LIMITED","TRANSACTIONS-EXPENDITURE","CUSTOMERS & CORPORATE SERVICES"
"Rochdale Borough Council","d1045989","2014-11-05","8255.84","J COONEY LTD","FOOTPATHS","PROPERTY AND HIGHWAYS"
"Rochdale Borough Council","d1045990","2014-11-05","12235.7","J COONEY LTD","FOOTPATHS","PROPERTY AND HIGHWAYS"
